Date,Hospital_ID,Hospital_Name,City,State,Disease_Type,Season,Patient_Count,ICU_Required,Beds_Required,Available_Beds,Oxygen_Cylinders_Required,Doctors_Required,Nurses_Required,Ventilators_Required,Medicine_1,Medicine_2,Medicine_3,Medicine_Units_Required,Occupancy_Rate,Emergency_Level
2024-01-01,1079,Deleon LLC Hospital,South Maureenmouth,Hawaii,0,0,483,111,316,502,143,41,74,43,Remdesivir,Paracetamol,Oxygen Support,2415,62.95,1
2024-01-02,1050,Bush-Waters Hospital,Lake Alyssa,Delaware,1,1,451,63,391,371,98,28,75,33,ORS,Platelets,Paracetamol,1353,105.39,0
2024-01-03,1061,Matthews Inc Hospital,New Kevinview,Hawaii,2,2,249,26,205,576,89,14,71,18,Paracetamol,Azithromycin,Vitamin C,1245,35.59,1
2024-01-04,1006,Harris-Martinez Hospital,Longburgh,Georgia,5,1,458,85,408,443,210,32,77,51,Ciprofloxacin,Azithromycin,ORS,2290,92.1,0
2024-01-05,1046,Henson LLC Hospital,Lauraville,New Jersey,2,2,227,55,139,374,99,20,65,22,Paracetamol,Azithromycin,Vitamin C,1135,37.17,1
2024-01-06,1091,"Wright, Larson and James Hospital",Port Crystalhaven,New York,5,0,460,41,365,354,179,49,74,27,Ciprofloxacin,Azithromycin,ORS,1380,103.11,0
2024-01-07,1040,Morales-Flores Hospital,Lisabury,Alabama,1,2,414,34,336,219,140,42,101,17,ORS,Platelets,Paracetamol,1242,153.42,0
2024-01-08,1029,Roberts Ltd Hospital,Allenberg,Alaska,0,2,382,39,289,298,106,20,82,17,Remdesivir,Paracetamol,Oxygen Support,1910,96.98,0
2024-01-09,1082,Gray and Sons Hospital,Jerryport,Arkansas,4,0,271,60,194,234,57,18,59,18,Amoxicillin,Azithromycin,Cough Syrup,542,82.91,2
2024-01-10,1029,"Payne, Johnson and Ortega Hospital",Port Albert,Louisiana,5,2,119,12,108,414,40,11,29,6,Ciprofloxacin,Azithromycin,ORS,238,26.09,1
2024-01-11,1066,Wells-Robinson Hospital,Lake Arthurburgh,Arkansas,1,0,305,76,248,316,73,30,75,41,ORS,Platelets,Paracetamol,915,78.48,2
2024-01-12,1021,Huber-Anderson Hospital,North Kristina,North Carolina,0,1,343,54,276,385,131,26,74,31,Remdesivir,Paracetamol,Oxygen Support,1029,71.69,2
2024-01-13,1003,Rocha Ltd Hospital,Juliaview,Washington,2,0,481,116,311,360,141,33,76,70,Paracetamol,Azithromycin,Vitamin C,2405,86.39,0
2024-01-14,1079,Hamilton Inc Hospital,Robertmouth,North Carolina,4,0,484,90,431,528,126,24,141,31,Amoxicillin,Azithromycin,Cough Syrup,1936,81.63,2
2024-01-15,1073,Brown Group Hospital,South Mariahville,Oregon,4,2,265,29,251,108,122,16,40,14,Amoxicillin,Azithromycin,Cough Syrup,795,232.41,0
2024-01-16,1045,"Bernard, Abbott and Hart Hospital",Donaldchester,Kansas,3,2,262,62,232,168,127,23,46,48,Chloroquine,Artemisinin,Primaquine,1048,138.1,0
2024-01-17,1094,Sanchez-Morse Hospital,Sparksside,Louisiana,1,2,295,41,274,384,66,34,82,25,ORS,Platelets,Paracetamol,590,71.35,2
2024-01-18,1016,Peterson-Estes Hospital,Walterton,Massachusetts,0,2,278,67,244,173,74,29,66,40,Remdesivir,Paracetamol,Oxygen Support,556,141.04,0
2024-01-19,1026,"Brown, Steele and Wilson Hospital",Wardberg,Florida,1,2,486,119,334,198,239,38,112,52,ORS,Platelets,Paracetamol,972,168.69,0
2024-01-20,1020,Molina and Sons Hospital,Bowmantown,Oregon,1,0,170,38,147,400,47,16,42,27,ORS,Platelets,Paracetamol,340,36.75,1
2024-01-21,1019,Cabrera-Shaw Hospital,Elizabethfort,New Jersey,2,2,447,78,366,245,164,46,131,46,Paracetamol,Azithromycin,Vitamin C,1341,149.39,0
2024-01-22,1079,Mills Group Hospital,Port Michaelland,Nebraska,3,1,423,95,346,451,99,43,117,54,Chloroquine,Artemisinin,Primaquine,1269,76.72,2
2024-01-23,1079,Davidson Inc Hospital,Lake Michael,Minnesota,2,0,95,21,79,349,41,6,23,15,Paracetamol,Azithromycin,Vitamin C,190,22.64,1
2024-01-24,1021,"Wright, Garza and Jackson Hospital",Charleneport,Indiana,1,0,451,84,344,379,211,35,74,65,ORS,Platelets,Paracetamol,902,90.77,0
2024-01-25,1061,"Christian, Arroyo and Porter Hospital",Lake Jose,South Carolina,5,1,54,7,32,176,23,3,10,5,Ciprofloxacin,Azithromycin,ORS,108,18.18,1
2024-01-26,1069,Carr PLC Hospital,Wigginsside,Mississippi,5,1,312,59,248,531,121,27,74,29,Ciprofloxacin,Azithromycin,ORS,1248,46.7,1
2024-01-27,1021,Davis Group Hospital,East Kevinborough,Indiana,4,2,424,104,321,518,170,25,109,36,Amoxicillin,Azithromycin,Cough Syrup,1696,61.97,1
2024-01-28,1093,Christensen-Baker Hospital,Woodsborough,West Virginia,5,1,158,31,111,317,59,15,33,19,Ciprofloxacin,Azithromycin,ORS,316,35.02,1
2024-01-29,1010,"Smith, Howell and Harris Hospital",Georgeside,Idaho,0,0,243,20,191,393,92,26,40,7,Remdesivir,Paracetamol,Oxygen Support,972,48.6,1
2024-01-30,1069,"Horn, Robertson and Brown Hospital",Port Patrick,New York,4,1,143,35,106,400,50,12,37,22,Amoxicillin,Azithromycin,Cough Syrup,572,26.5,1
2024-01-31,1014,Jackson-Goodman Hospital,Lake Jefferyburgh,West Virginia,3,2,165,29,118,494,75,17,32,21,Chloroquine,Artemisinin,Primaquine,825,23.89,1
2024-02-01,1059,Ramos-Thomas Hospital,Harrisonchester,Georgia,4,2,341,37,228,304,69,20,95,20,Amoxicillin,Azithromycin,Cough Syrup,1705,75.0,2
2024-02-02,1031,Campbell-Nielsen Hospital,Port Angela,Georgia,0,2,336,49,319,208,74,32,68,24,Remdesivir,Paracetamol,Oxygen Support,1680,153.37,0
2024-02-03,1069,"Schmidt, Khan and Bell Hospital",Gregorymouth,Tennessee,3,0,264,40,174,369,87,23,59,20,Chloroquine,Artemisinin,Primaquine,792,47.15,1
2024-02-04,1001,Barnett Group Hospital,East Michael,Virginia,0,1,449,39,397,120,146,34,92,23,Remdesivir,Paracetamol,Oxygen Support,1796,330.83,0
2024-02-05,1045,Rodriguez-Torres Hospital,Fowlertown,North Dakota,3,1,242,48,218,532,66,13,60,25,Chloroquine,Artemisinin,Primaquine,968,40.98,1
2024-02-06,1032,Kim and Sons Hospital,Erichaven,Arkansas,3,0,242,28,205,205,105,17,53,13,Chloroquine,Artemisinin,Primaquine,1210,100.0,0
2024-02-07,1073,"Delacruz, Rhodes and Williams Hospital",Bryanberg,Michigan,1,0,193,18,141,246,71,15,50,6,ORS,Platelets,Paracetamol,386,57.32,1
2024-02-08,1078,Garcia PLC Hospital,Kennedychester,Alaska,1,0,266,62,213,230,66,29,69,28,ORS,Platelets,Paracetamol,1330,92.61,0
2024-02-09,1040,Ramos-Jackson Hospital,Kerryton,Nevada,1,2,98,23,64,408,32,7,28,14,ORS,Platelets,Paracetamol,490,15.69,1
2024-02-10,1017,Jimenez-Davis Hospital,Port Melissamouth,Minnesota,3,0,462,71,359,445,178,53,119,34,Chloroquine,Artemisinin,Primaquine,924,80.67,2
2024-02-11,1081,Stewart-Harris Hospital,West Kenneth,Rhode Island,4,0,238,31,202,484,95,19,58,9,Amoxicillin,Azithromycin,Cough Syrup,1190,41.74,1
2024-02-12,1027,"Kelley, Phillips and Santos Hospital",South Michael,Kansas,3,1,144,26,88,134,44,9,27,10,Chloroquine,Artemisinin,Primaquine,432,65.67,2
2024-02-13,1089,"Gomez, Bowers and Chapman Hospital",Klineport,California,2,2,86,14,53,128,22,5,16,7,Paracetamol,Azithromycin,Vitamin C,258,41.41,1
2024-02-14,1061,Rice and Sons Hospital,Ellisshire,Montana,1,1,477,38,398,515,210,48,94,15,ORS,Platelets,Paracetamol,1908,77.28,2
2024-02-15,1001,Williams-Stout Hospital,West Jaime,Kansas,1,2,411,69,388,264,194,42,77,27,ORS,Platelets,Paracetamol,1644,146.97,0
2024-02-16,1011,Ewing-Douglas Hospital,Andersonton,South Dakota,5,2,60,13,45,511,26,5,13,9,Ciprofloxacin,Azithromycin,ORS,300,8.81,1
2024-02-17,1096,Chaney-Simon Hospital,West Kellyshire,Kansas,2,0,287,64,235,387,59,16,69,28,Paracetamol,Azithromycin,Vitamin C,574,60.72,1
2024-02-18,1089,"Smith, Tate and Howard Hospital",Brighthaven,North Carolina,1,1,178,36,141,242,62,18,46,16,ORS,Platelets,Paracetamol,356,58.26,1
2024-02-19,1094,Shah-King Hospital,Jamieville,Tennessee,2,0,192,44,150,521,92,18,57,26,Paracetamol,Azithromycin,Vitamin C,384,28.79,1
2024-02-20,1009,Jones Inc Hospital,Savagechester,Nevada,3,1,418,57,367,109,146,29,122,27,Chloroquine,Artemisinin,Primaquine,2090,336.7,0
2024-02-21,1045,Hernandez-Rivera Hospital,Larsonstad,Vermont,5,2,97,20,60,150,34,5,21,11,Ciprofloxacin,Azithromycin,ORS,485,40.0,1
2024-02-22,1016,Stone-Thompson Hospital,Vargasport,Indiana,0,0,300,51,185,271,84,19,67,36,Remdesivir,Paracetamol,Oxygen Support,1500,68.27,2
2024-02-23,1016,"Abbott, Fleming and Lewis Hospital",Brownhaven,Oklahoma,2,2,128,11,84,117,57,6,27,3,Paracetamol,Azithromycin,Vitamin C,384,71.79,2
2024-02-24,1023,James PLC Hospital,Jillmouth,Maryland,2,1,225,35,145,302,51,11,55,25,Paracetamol,Azithromycin,Vitamin C,675,48.01,1
2024-02-25,1020,"Morgan, Moore and Hudson Hospital",Port Danny,Indiana,3,1,435,99,287,327,102,23,69,39,Chloroquine,Artemisinin,Primaquine,1740,87.77,0
2024-02-26,1091,Rivas-Fisher Hospital,Port Ashley,Colorado,0,1,458,93,281,471,110,54,100,62,Remdesivir,Paracetamol,Oxygen Support,2290,59.66,1
2024-02-27,1075,"Bailey, Lin and Harris Hospital",South Jameschester,Tennessee,3,0,277,45,205,140,82,20,76,14,Chloroquine,Artemisinin,Primaquine,1108,146.43,0
