Date,Hospital_ID,Hospital_Name,City,State,Disease_Type,Season,Patient_Count,ICU_Required,Beds_Required,Available_Beds,Oxygen_Cylinders_Required,Doctors_Required,Nurses_Required,Ventilators_Required,Medicine_1,Medicine_2,Medicine_3,Medicine_Units_Required,Occupancy_Rate,Emergency_Level
2024-01-01,1079,Deleon LLC Hospital,South Maureenmouth,Hawaii,COVID,Rainy,483,111,316,502,143,41,74,43,Remdesivir,Paracetamol,Oxygen Support,2415,62.95,LOW
2024-01-02,1050,Bush-Waters Hospital,Lake Alyssa,Delaware,Dengue,Summer,451,63,391,371,98,28,75,33,ORS,Platelets,Paracetamol,1353,105.39,HIGH
2024-01-03,1061,Matthews Inc Hospital,New Kevinview,Hawaii,Flu,Winter,249,26,205,576,89,14,71,18,Paracetamol,Azithromycin,Vitamin C,1245,35.59,LOW
2024-01-04,1006,Harris-Martinez Hospital,Longburgh,Georgia,Typhoid,Summer,458,85,408,443,210,32,77,51,Ciprofloxacin,Azithromycin,ORS,2290,92.1,HIGH
2024-01-05,1046,Henson LLC Hospital,Lauraville,New Jersey,Flu,Winter,227,55,139,374,99,20,65,22,Paracetamol,Azithromycin,Vitamin C,1135,37.17,LOW
2024-01-06,1091,"Wright, Larson and James Hospital",Port Crystalhaven,New York,Typhoid,Rainy,460,41,365,354,179,49,74,27,Ciprofloxacin,Azithromycin,ORS,1380,103.11,HIGH
2024-01-07,1040,Morales-Flores Hospital,Lisabury,Alabama,Dengue,Winter,414,34,336,219,140,42,101,17,ORS,Platelets,Paracetamol,1242,153.42,HIGH
2024-01-08,1029,Roberts Ltd Hospital,Allenberg,Alaska,COVID,Winter,382,39,289,298,106,20,82,17,Remdesivir,Paracetamol,Oxygen Support,1910,96.98,HIGH
2024-01-09,1082,Gray and Sons Hospital,Jerryport,Arkansas,Pneumonia,Rainy,271,60,194,234,57,18,59,18,Amoxicillin,Azithromycin,Cough Syrup,542,82.91,MEDIUM
2024-01-10,1029,"Payne, Johnson and Ortega Hospital",Port Albert,Louisiana,Typhoid,Winter,119,12,108,414,40,11,29,6,Ciprofloxacin,Azithromycin,ORS,238,26.09,LOW
2024-01-11,1066,Wells-Robinson Hospital,Lake Arthurburgh,Arkansas,Dengue,Rainy,305,76,248,316,73,30,75,41,ORS,Platelets,Paracetamol,915,78.48,MEDIUM
2024-01-12,1021,Huber-Anderson Hospital,North Kristina,North Carolina,COVID,Summer,343,54,276,385,131,26,74,31,Remdesivir,Paracetamol,Oxygen Support,1029,71.69,MEDIUM
2024-01-13,1003,Rocha Ltd Hospital,Juliaview,Washington,Flu,Rainy,481,116,311,360,141,33,76,70,Paracetamol,Azithromycin,Vitamin C,2405,86.39,HIGH
2024-01-14,1079,Hamilton Inc Hospital,Robertmouth,North Carolina,Pneumonia,Rainy,484,90,431,528,126,24,141,31,Amoxicillin,Azithromycin,Cough Syrup,1936,81.63,MEDIUM
2024-01-15,1073,Brown Group Hospital,South Mariahville,Oregon,Pneumonia,Winter,265,29,251,108,122,16,40,14,Amoxicillin,Azithromycin,Cough Syrup,795,232.41,HIGH
2024-01-16,1045,"Bernard, Abbott and Hart Hospital",Donaldchester,Kansas,Malaria,Winter,262,62,232,168,127,23,46,48,Chloroquine,Artemisinin,Primaquine,1048,138.1,HIGH
2024-01-17,1094,Sanchez-Morse Hospital,Sparksside,Louisiana,Dengue,Winter,295,41,274,384,66,34,82,25,ORS,Platelets,Paracetamol,590,71.35,MEDIUM
2024-01-18,1016,Peterson-Estes Hospital,Walterton,Massachusetts,COVID,Winter,278,67,244,173,74,29,66,40,Remdesivir,Paracetamol,Oxygen Support,556,141.04,HIGH
2024-01-19,1026,"Brown, Steele and Wilson Hospital",Wardberg,Florida,Dengue,Winter,486,119,334,198,239,38,112,52,ORS,Platelets,Paracetamol,972,168.69,HIGH
2024-01-20,1020,Molina and Sons Hospital,Bowmantown,Oregon,Dengue,Rainy,170,38,147,400,47,16,42,27,ORS,Platelets,Paracetamol,340,36.75,LOW
2024-01-21,1019,Cabrera-Shaw Hospital,Elizabethfort,New Jersey,Flu,Winter,447,78,366,245,164,46,131,46,Paracetamol,Azithromycin,Vitamin C,1341,149.39,HIGH
2024-01-22,1079,Mills Group Hospital,Port Michaelland,Nebraska,Malaria,Summer,423,95,346,451,99,43,117,54,Chloroquine,Artemisinin,Primaquine,1269,76.72,MEDIUM
2024-01-23,1079,Davidson Inc Hospital,Lake Michael,Minnesota,Flu,Rainy,95,21,79,349,41,6,23,15,Paracetamol,Azithromycin,Vitamin C,190,22.64,LOW
2024-01-24,1021,"Wright, Garza and Jackson Hospital",Charleneport,Indiana,Dengue,Rainy,451,84,344,379,211,35,74,65,ORS,Platelets,Paracetamol,902,90.77,HIGH
2024-01-25,1061,"Christian, Arroyo and Porter Hospital",Lake Jose,South Carolina,Typhoid,Summer,54,7,32,176,23,3,10,5,Ciprofloxacin,Azithromycin,ORS,108,18.18,LOW
